Location,Size_sqft,Num_Bedrooms,Num_Bathrooms,Has_Balcony,Floor_Number,Building_Age_Years,Parking_Available,Nearby_Schools,Distance_to_CityCenter_km,Security_Level,Price_Category
Countryside,1730.0,4.0,3.0,No,3.0,24.0,No,Few,19.2,Low,High
City Center,2092.0,1.0,2.0,No,16.0,36.0,No,Many,2.6,Low,High
Countryside,,3.0,1.0,Yes,8.0,47.0,No,Many,,Medium,Medium
,1945.0,3.0,2.0,Yes,18.0,42.0,Yes,Few,28.8,Low,High
City Center,1505.0,4.0,3.0,No,4.0,37.0,No,Many,2.8,Low,High
City Center,2154.0,1.0,3.0,Yes,5.0,40.0,Yes,Many,16.2,High,High
Countryside,866.0,2.0,,No,2.0,44.0,Yes,Few,9.4,High,High
Suburbs,,3.0,2.0,No,,23.0,No,Few,12.1,High,Medium
Countryside,2234.0,4.0,2.0,Yes,19.0,,Yes,,5.8,,High
Countryside,1632.0,1.0,1.0,,,,No,Many,17.6,,High
Countryside,501.0,,3.0,Yes,10.0,,No,Few,28.8,Low,High
Countryside,416.0,2.0,,No,12.0,16.0,Yes,Many,15.3,High,Low
City Center,1236.0,3.0,3.0,Yes,9.0,23.0,No,Many,2.9,High,Medium
Countryside,874.0,4.0,3.0,No,2.0,36.0,No,Many,18.8,,Low
Suburbs,836.0,4.0,1.0,,8.0,1.0,No,Many,10.5,Low,Low
City Center,1925.0,4.0,1.0,Yes,11.0,31.0,No,Many,25.7,Medium,Medium
Suburbs,,2.0,,No,13.0,23.0,Yes,Few,13.3,Low,Low
Suburbs,,,1.0,,0.0,8.0,No,Few,6.2,Medium,Low
,774.0,2.0,3.0,Yes,17.0,3.0,No,Many,6.1,High,Low
Suburbs,717.0,2.0,1.0,No,,16.0,No,Many,23.2,Medium,Medium
City Center,1238.0,2.0,1.0,Yes,8.0,16.0,Yes,Few,8.3,Medium,High
City Center,1254.0,3.0,1.0,No,8.0,49.0,,Few,23.1,High,Medium
,1175.0,3.0,1.0,Yes,9.0,47.0,Yes,Many,6.6,,Medium
,1062.0,4.0,3.0,,18.0,29.0,No,Many,10.0,Low,Medium
,1502.0,,1.0,No,14.0,39.0,No,Few,14.2,High,Low
City Center,1505.0,3.0,3.0,No,,10.0,No,Few,28.3,Medium,High
City Center,963.0,1.0,2.0,,14.0,,Yes,Many,28.0,Medium,Medium
Countryside,324.0,3.0,3.0,Yes,19.0,20.0,Yes,Few,6.6,Medium,Medium
Countryside,2290.0,2.0,3.0,Yes,1.0,17.0,,Few,11.1,Low,High
Countryside,1503.0,3.0,,Yes,12.0,28.0,Yes,Many,4.9,Medium,High
Suburbs,1009.0,2.0,2.0,No,15.0,23.0,Yes,Many,15.5,Low,High
Countryside,2179.0,4.0,2.0,No,14.0,9.0,Yes,Many,14.1,Medium,Low
Suburbs,1484.0,1.0,2.0,Yes,9.0,44.0,,Few,27.1,High,High
Suburbs,584.0,4.0,2.0,Yes,,16.0,Yes,Many,27.9,High,Low
Countryside,362.0,2.0,3.0,Yes,9.0,17.0,No,Few,11.8,Low,Medium
Suburbs,1302.0,2.0,2.0,No,13.0,41.0,Yes,Many,15.0,Low,Low
Countryside,,2.0,,Yes,8.0,47.0,Yes,Many,26.9,High,High
Countryside,1792.0,1.0,3.0,Yes,13.0,19.0,Yes,Few,24.3,High,Low
,1266.0,3.0,3.0,No,2.0,36.0,No,Few,0.6,Medium,High
Countryside,1148.0,4.0,2.0,No,19.0,,Yes,Many,9.9,High,Low
,1407.0,4.0,1.0,Yes,15.0,17.0,,Many,12.9,Low,Medium
Countryside,988.0,3.0,1.0,No,1.0,16.0,No,Few,,High,Low
Countryside,447.0,4.0,2.0,Yes,9.0,8.0,No,Many,6.4,Low,Medium
